id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentimen
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah seperti ini...  pic.twitter.com/ZqvHxDkiBg,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.23498560670879,106.84891061202302,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah seperti ini...  pic.twitter.com/ZqvHxDkiBg,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.233828833857672,106.85544296379283,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah seperti ini...  pic.twitter.com/ZqvHxDkiBg,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.233726382133455,106.86157636598682,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah di daerah Dago,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.221338311009731,106.85811921636474,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah di daerah Dago,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.219991906972098,106.84850764423146,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah di daerah Dago,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.229437805276973,106.88071429620624,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
1298260934264119304,1298260934264119304,1598364501000,2020-08-25,21:08:21,SE Asia Standard Time,1712928715,benderarestu,Tanjung Puting,Jekerte Frat Boys,Pengen punya rumah di daerah Dago,[],[],[],0,0,0,[],[],https://twitter.com/benderarestu/status/1298260934264119304,False,,0,,"-6.226710848825462,106.88903685625587,1.2km",,,,,"[{'user_id': '1712928715', 'username': 'benderarestu'}]",,,,,1
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah seperti ini...  pic.twitter.com/ZqvHxDkiBg,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.2187180291196,106.8795051075237,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
1298260934264119304,1298260934264119304,1598364501000,2020-08-25,21:08:21,SE Asia Standard Time,1712928715,benderarestu,Tanjung Puting,Jekerte Frat Boys,"Cita Cita Sekarang :
Pengen punya rumah yang di repost arsindie – di Jekerte Frat Boys",[],[],[],0,0,0,[],[],https://twitter.com/benderarestu/status/1298260934264119304,False,,0,,"-6.2187180291196,106.8795051075237,1.2km",,,,,"[{'user_id': '1712928715', 'username': 'benderarestu'}]",,,,,1
1298963334314602496,1298963334314602496,1598531967000,2020-08-27,19:39:27,SE Asia Standard Time,1096798834842263552,silentbeardy,봄,,Pengen punya rumah seperti ini...  pic.twitter.com/ZqvHxDkiBg,[],[],['https://pbs.twimg.com/media/EgbYRF-U4AEwctY.jpg'],4,1,10,[],[],https://twitter.com/Silentbeardy/status/1298963334314602496,False,,0,,"-6.220518618043116,106.87165049501812,1.2km",,,,,"[{'user_id': '1096798834842263552', 'username': 'Silentbeardy'}]",,,,,1
